"filename", "language", "SQL", "XML", "Go", "YAML", "Go Checksum File", "Markdown", "Go Module File", "Docker", "comment", "blank", "total"
"/Users/sebastianflajszer/projects/go/ailingo-backend/internal/usecase/studysession.go", "Go", 0, 0, 61, 0, 0, 0, 0, 0, 2, 16, 79
"/Users/sebastianflajszer/projects/go/ailingo-backend/internal/usecase/studyset.go", "Go", 0, 0, 101, 0, 0, 0, 0, 0, 1, 29, 131
"/Users/sebastianflajszer/projects/go/ailingo-backend/internal/usecase/translate.go", "Go", 0, 0, 42, 0, 0, 0, 0, 0, 0, 11, 53
"/Users/sebastianflajszer/projects/go/ailingo-backend/internal/usecase/user.go", "Go", 0, 0, 35, 0, 0, 0, 0, 0, 0, 14, 49
"/Users/sebastianflajszer/projects/go/ailingo-backend/internal/webhook/clerk.go", "Go", 0, 0, 131, 0, 0, 0, 0, 0, 0, 26, 157
"/Users/sebastianflajszer/projects/go/ailingo-backend/pkg/apiutil/apiutil.go", "Go", 0, 0, 49, 0, 0, 0, 0, 0, 3, 9, 61
"/Users/sebastianflajszer/projects/go/ailingo-backend/pkg/apiutil/error.go", "Go", 0, 0, 20, 0, 0, 0, 0, 0, 1, 5, 26
"/Users/sebastianflajszer/projects/go/ailingo-backend/pkg/auth/auth.go", "Go", 0, 0, 63, 0, 0, 0, 0, 0, 3, 15, 81
"/Users/sebastianflajszer/projects/go/ailingo-backend/pkg/deepl/deepl.go", "Go", 0, 0, 54, 0, 0, 0, 0, 0, 2, 13, 69
"/Users/sebastianflajszer/projects/go/ailingo-backend/pkg/deepl/models.go", "Go", 0, 0, 12, 0, 0, 0, 0, 0, 3, 4, 19
"/Users/sebastianflajszer/projects/go/ailingo-backend/pkg/httpserver/server.go", "Go", 0, 0, 72, 0, 0, 0, 0, 0, 0, 17, 89
"/Users/sebastianflajszer/projects/go/ailingo-backend/pkg/openai/models.go", "Go", 0, 0, 29, 0, 0, 0, 0, 0, 6, 7, 42
"/Users/sebastianflajszer/projects/go/ailingo-backend/pkg/openai/openai.go", "Go", 0, 0, 93, 0, 0, 0, 0, 0, 4, 22, 119
"/Users/sebastianflajszer/projects/go/ailingo-backend/sql/init.sql", "SQL", 50, 0, 0, 0, 0, 0, 0, 0, 0, 10, 60
"Total", "-", 50, 55, 2916, 23, 438, 14, 30, 11, 146, 682, 4365
